cut,flute_1,flute_2,flute_3,average
1,32.31711361,48.89261732,37.72082548,39.6435188
2,52.25032922,51.90828793,38.17266456,47.44376057
3,76.06162381,59.57180359,44.36883963,60.00075568
4,82.18552678,63.74417426,49.0288842,64.98619508
5,87.17510345,71.92341685,59.48834755,72.86228928
6,87.39090058,75.70352498,64.73287786,75.94243447
7,87.39090058,82.2964544,74.33454341,81.3406328
8,87.39090058,85.03914309,78.47488851,83.63497739
9,87.39090058,89.37026282,85.17514756,87.31210365
10,87.39090058,90.97845225,87.71704374,88.69546552
11,87.39090058,93.19471836,91.2888688,90.62482925
12,87.39090058,93.86589581,92.40175351,91.21951663
13,87.39090058,94.51484266,93.54853556,91.81809293
14,87.39090058,94.56862356,93.70112274,91.88688229
15,87.39090058,94.56862356,93.70566818,91.88839744
16,87.39090058,94.56862356,93.70566818,91.88839744
17,87.39090058,94.56862356,93.70566818,91.88839744
18,87.7061647,94.56862356,93.70566818,91.99348548
19,90.79169571,94.56862356,93.70566818,93.02199582
20,92.24757218,94.56862356,93.70566818,93.50728797
21,94.88972237,94.56862356,93.70566818,94.3880047
22,96.05429047,94.56862356,93.70566818,94.77619407
23,98.05482567,94.56862356,95.31946299,95.98097074
24,98.89835857,94.77442788,96.45752308,96.71010318
25,100.3193584,96.25773627,99.19699805,98.59136424
26,100.9248194,97.1482016,100.7687143,99.61391177
27,102.0112017,99.1909274,104.2263032,101.8094774
28,102.5301247,100.3264295,106.0722354,102.9762632
29,103.6173222,102.7807541,109.8944454,105.4308406
30,104.2238103,104.0813342,111.8294463,106.7115303
31,105.6505285,106.7855285,115.6496958,109.3619176
32,106.5014004,108.1730817,117.4996682,110.7247168
33,108.5400419,110.9843326,121.0039667,113.5094471
34,109.7458328,112.3967508,122.6342497,114.9256111
35,112.5571865,115.2145076,125.6081548,117.793283
36,114.1660341,116.614799,126.941889,119.2409074
37,117.7800905,119.3938598,129.2968443,122.1569315
38,119.7744621,120.774157,130.3230002,123.6238731
39,124.0956175,123.5278439,132.1025129,126.5753248
40,126.4003021,124.908706,132.8742926,128.0611002
41,131.2326523,127.7033255,134.2421873,131.0593884
42,133.7313964,129.1290961,134.8672693,132.5759206
43,138.8181847,132.0714667,136.0815132,135.6570549
44,141.375747,133.6026833,136.7061117,137.2281807
45,146.4462078,136.8228691,138.0824903,140.4505224
46,148.9323811,138.526843,138.8714903,142.1102381
47,153.7491167,142.1583834,140.741779,145.5497597
48,156.0613707,144.0991016,141.8572923,147.3392549
49,160.4618907,148.2589982,144.5265724,151.0824871
50,162.5436673,150.4874416,146.1071812,153.0460967
51,166.4707092,155.2579876,149.8146348,157.1811105
52,168.3230015,157.8038408,151.9573629,159.3614017
53,171.839631,163.2180749,156.8443093,163.9673384
